"","r_f"
"1",0
"2",0
"3",1e-04
"4",1e-04
"5",1e-04
"6",1e-04
"7",1e-04
"8",1e-04
"9",1e-04
"10",1e-04
"11",1e-04
"12",1e-04
"13",1e-04
"14",1e-04
"15",1e-04
"16",0
"17",0
"18",0
"19",0
"20",1e-04
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",1e-04
"30",0
"31",0
"32",1e-04
"33",1e-04
"34",1e-04
"35",1e-04
"36",1e-04
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",1e-04
"73",1e-04
"74",2e-04
"75",2e-04
"76",1e-04
"77",1e-04
"78",2e-04
"79",2e-04
"80",2e-04
"81",2e-04
"82",2e-04
"83",1e-04
"84",3e-04
"85",4e-04
"86",4e-04
"87",3e-04
"88",5e-04
"89",6e-04
"90",6e-04
"91",7e-04
"92",9e-04
"93",9e-04
"94",9e-04
"95",8e-04
"96",9e-04
"97",0.0011
"98",0.0011
"99",0.0012
"100",0.0014
"101",0.0014
"102",0.0014
"103",0.0016
"104",0.0016
"105",0.0015
"106",0.0019
"107",0.0018
"108",0.0019
"109",0.0021
"110",0.0018
"111",0.0019
"112",0.0021
"113",0.0021
"114",0.0018
"115",0.0019
"116",0.0016
"117",0.0018
"118",0.0015
"119",0.0012
"120",0.0014
"121",0.0013
"122",0.0012
"123",0.0012
"124",0
"125",1e-04
"126",1e-04
"127",1e-04
"128",1e-04
"129",1e-04
"130",1e-04
"131",1e-04
"132",1e-04
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",1e-04
